MANAGE_NO,PARK_NM,PARK_SE,RDNMADR,LNMADR,LATITUDE,LONGITUDE,PARK_AR,MVM_FCLTY,AMSMT_FCLTY,CNVNNC_FCLTY,CLTR_FCLTY,ETC_FCLTY,APPN_NTFC_DATE,INSTITUTION_NM,PHONE_NUMBER,REFERENCE_DATE
41173-00022,학운공원(7호),근린공원,,경기도 안양시 동안구 비산동 1100,37.39885166,126.9472781,52842.7,,,,,,1989-12-20,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41171-00011,청란어린이공원(2호),어린이공원,,경기도 안양시 만안구 석수동 751,37.4086549012,126.8957233813,1787.2,,,,,,1983-10-29,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00010,늘푸른어린이공원(37호),어린이공원,,경기도 안양시 만안구 안양동 528,37.387364186,126.932900,1793.6,,,,,,1980-03-17,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00021,인덕원어린이공원(69호),어린이공원,,경기도 안양시 동안구 관양동 1509-1,37.397808,126.978497,1500.1,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00020,새마을어린이공원(68호),어린이공원,,경기도 안양시 동안구 관양동 1501-9,37.4004224315,126.9755930924,1689.3,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00019,향기어린이공원(67호),어린이공원,,경기도 안양시 동안구 관양동 1486-6,37.4022080754,126.9740659511,1693.2,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00018,보은어린이공원(45호),어린이공원,,경기도 안양시 동안구 관양동 1439-6,37.402361,126.954877,1699.4,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00017,은하수어린이공원(44호),어린이공원,,경기도 안양시 동안구 비산동 1057,37.4013273069,126.9518684208,1689.5,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00016,한미어린이공원(25호),어린이공원,,경기도 안양시 동안구 관양동 1478,37.402978,126.972333,858.1,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00015,부림어린이공원(24호),어린이공원,,경기도 안양시 동안구 관양동 1471,37.403637,126.969859,1699.9,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00014,증촌어린이공원(23호),어린이공원,,경기도 안양시 동안구 관양동 1460-7,37.403708,126.965895,1683.9,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00013,동안어린이공원(22호),어린이공원,,경기도 안양시 동안구 관양동 1447-10,37.402909,126.960603,1683.3,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00012,노을어린이공원(21호),어린이공원,,경기도 안양시 동안구 관양동 1401,37.403511,126.9576012983,1035,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00011,황금어린이공원(20호),어린이공원,,경기도 안양시 동안구 관양동 1436-13,37.405615,126.968483,1674.4,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00010,중촌어린이공원(19호),어린이공원,,경기도 안양시 동안구 관양동 1430-5,37.4059327609,126.965564,1696.6,,,,,,1979-11-29,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00021,호돌이어린이공원(1호),어린이공원,,경기도 안양시 만안구 석수동 382-15,37.4314214932,126.9053450038,1500,,,,,,1997-08-12,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00020,개나리어린이공원(32호),어린이공원,,경기도 안양시 만안구 안양동 873-39,37.401509,126.915317,1184,,,,,,1996-07-19,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00019,양지어린이공원(31호),어린이공원,,경기도 안양시 만안구 안양동 897-24,37.400117,126.913616,970,,,,,,1996-07-19,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00018,꿈동산어린이공원(30호),어린이공원,,경기도 안양시 만안구 안양동 695-190,37.4000714092,126.9178042237,698.5,,,,,,1996-07-19,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00017,꽃동산어린이공원(27호),어린이공원,,경기도 안양시 만안구 박달동 94-114,37.401401,126.910713,1098,,,,,,1996-07-19,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00016,효성어린이공원(33호),어린이공원,,경기도 안양시 만안구 안양동 976-8,37.3925114273,126.903645,701,,,,,,1996-03-27,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00015,달래1어린이공원(29호),어린이공원,,경기도 안양시 만안구 안양동 908-64,37.399599,126.911063,343,,,,,,1995-09-12,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00014,달래2어린이공원(28호),어린이공원,,경기도 안양시 만안구 안양동 908-78,37.399898,126.911022,103,,,,,,1995-09-12,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00013,명학어린이공원(70호),어린이공원,,경기도 안양시 만안구 안양동 1280-3,37.377624448,126.9382622332,1500.7,,,,,,1990-09-10,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00051,중앙공원(12호),근린공원,,경기도 안양시 동안구 평촌동 895,37.390137,126.961331,119843.1,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41173-00050,희망공원(11호),근린공원,,경기도 안양시 동안구 호계동 1053,37.3889971808,126.9493353318,9634.8,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41173-00049,평화공원(10호),근린공원,,경기도 안양시 동안구 비산동 1104-2,37.390367703,126.9482385448,10019.2,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
