학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000003838,명학초등학교,초등학교,1978-03-01,공립,본교,운영,경기도 안양시 만안구 안양동 349-13,경기도 안양시 만안구 명학로 55,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.37997664,126.9344732,2026-03-20,B554398,한국교육시설안전원
B000003851,안양호암초등학교,초등학교,2006-03-01,공립,본교,운영,경기도 안양시 만안구 석수동 221-40,경기도 안양시 만안구 예술공원로103번길 73,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.42090452,126.9164018,2026-03-20,B554398,한국교육시설안전원
B000003846,신안초등학교,초등학교,1979-03-02,공립,본교,운영,경기도 안양시 만안구 안양동 723-1,경기도 안양시 만안구 능곡로 52,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38960225,126.9148624,2026-03-20,B554398,한국교육시설안전원
B000003859,평촌초등학교,초등학교,1993-05-01,공립,본교,운영,경기도 안양시 동안구 평촌동 899-4,경기도 안양시 동안구 평촌대로180번길 56,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38839468,126.9604635,2026-03-20,B554398,한국교육시설안전원
B000009261,대안중학교,중학교,1984-01-16,공립,본교,운영,경기도 안양시 동안구 호계동 1228,경기도 안양시 동안구 흥안대로249번길 25,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.37798341,126.9658777,2026-03-20,B554398,한국교육시설안전원
B000026166,박달중학교,중학교,2017-03-01,공립,본교,운영,경기도 안양시 만안구 박달동 590,경기도 안양시 만안구 박달로418번길 70,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39939795,126.8970462,2026-03-20,B554398,한국교육시설안전원
B000003855,부림초등학교,초등학교,1991-09-01,공립,본교,운영,경기도 안양시 동안구 관양동 1587-3,경기도 안양시 동안구 달안로 161,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40034812,126.9600173,2026-03-20,B554398,한국교육시설안전원
B000009283,근명중학교,중학교,1967-10-05,사립,본교,운영,경기도 안양시 만안구 안양동 708-197,경기도 안양시 만안구 삼덕로 49,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39354124,126.9200136,2026-03-20,B554398,한국교육시설안전원
B000009277,임곡중학교,중학교,2006-03-03,공립,본교,운영,경기도 안양시 동안구 비산동 511-129,경기도 안양시 동안구 임곡로 105,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40854787,126.9315627,2026-03-20,B554398,한국교육시설안전원
B000003874,호원초등학교,초등학교,1987-03-01,공립,본교,운영,경기도 안양시 동안구 호계동 338,경기도 안양시 동안구 경수대로623번길 72,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.37505948,126.9531928,2026-03-20,B554398,한국교육시설안전원
B000009268,평촌중학교,중학교,1992-09-01,공립,본교,운영,경기도 안양시 동안구 평촌동 899-5,경기도 안양시 동안구 관평로 127,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38878173,126.9614853,2026-03-20,B554398,한국교육시설안전원
B000012509,양명여자고등학교,고등학교,1983-04-19,사립,본교,운영,경기도 안양시 만안구 안양동 산21-10,경기도 안양시 만안구 경수대로1001번길 150,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40697627,126.9221725,2026-03-20,B554398,한국교육시설안전원
B000003871,안양부흥초등학교,초등학교,1992-06-01,공립,본교,운영,경기도 안양시 동안구 비산동 1102-8,경기도 안양시 동안구 달안로 37,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.3947605,126.9465091,2026-03-20,B554398,한국교육시설안전원
B000003858,동안초등학교,초등학교,1992-09-01,공립,본교,운영,경기도 안양시 동안구 평촌동 898-1,경기도 안양시 동안구 관평로138번길 36,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38951934,126.9649077,2026-03-20,B554398,한국교육시설안전원
B000011495,안양공업고등학교,고등학교,1948-03-15,공립,본교,운영,경기도 안양시 만안구 안양동 881-3,경기도 안양시 만안구 양화로28번길 69,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39956392,126.914329,2026-03-20,B554398,한국교육시설안전원
B000011498,평촌과학기술고등학교,고등학교,1995-03-02,공립,본교,운영,경기도 안양시 동안구 호계동 1106,경기도 안양시 동안구 갈산로 16,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.37360398,126.9626142,2026-03-20,B554398,한국교육시설안전원
B000003870,달안초등학교,초등학교,1992-08-29,공립,본교,운영,경기도 안양시 동안구 비산동 1109-1,경기도 안양시 동안구 동안로 178,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39460528,126.9500874,2026-03-20,B554398,한국교육시설안전원
B000012506,부흥고등학교,고등학교,1993-03-01,공립,본교,운영,경기도 안양시 동안구 비산동 1102-2,경기도 안양시 동안구 달안로 15,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39330664,126.9446222,2026-03-20,B554398,한국교육시설안전원
B000012504,동안고등학교,고등학교,1994-03-05,공립,본교,운영,경기도 안양시 동안구 평촌동 898-3,경기도 안양시 동안구 부림로 71,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39035669,126.9661064,2026-03-20,B554398,한국교육시설안전원
B000003839,안양양지초등학교,초등학교,1989-03-01,공립,본교,운영,경기도 안양시 만안구 안양동 977-1,경기도 안양시 만안구 병목안로130번길 69,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39224518,126.9045522,2026-03-20,B554398,한국교육시설안전원
B000012505,평촌고등학교,고등학교,1992-04-13,공립,본교,운영,경기도 안양시 동안구 호계동 1054,경기도 안양시 동안구 동안로 80,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.3865366,126.9547456,2026-03-20,B554398,한국교육시설안전원
