정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB209000005,평촌센텀퍼스트,37.3716667,126.9625,2025-10-31,10120.0,31040,경기도 안양시,경기BIS
GGB209000006,호계사거리,37.3704,126.9593167,2025-10-31,10105.0,31040,경기도 안양시,경기BIS
GGB209000007,서안이노빌.평촌어바인퍼스트,37.36955,126.9559667,2025-10-31,10086.0,31040,경기도 안양시,경기BIS
GGB209000008,유통단지사거리,37.3685833,126.9541333,2025-10-31,10068.0,31040,경기도 안양시,경기BIS
GGB209000009,유통단지사거리,37.36825,126.95415,2025-10-31,10069.0,31040,경기도 안양시,경기BIS
GGB209000010,평촌어바인퍼스트아파트,37.3699,126.9558167,2025-10-31,10083.0,31040,경기도 안양시,경기BIS
GGB209000011,호계사거리,37.3709667,126.9596667,2025-10-31,10106.0,31040,경기도 안양시,경기BIS
GGB209000012,덕고개사거리,37.3725,126.9635,2025-10-31,10128.0,31040,경기도 안양시,경기BIS
GGB209000013,샘마을단지.대안중.대안여중,37.3748167,126.9670833,2025-10-31,10200.0,31040,경기도 안양시,경기BIS
GGB209000014,안양남초등학교,37.3790667,126.97015,2025-10-31,10157.0,31040,경기도 안양시,경기BIS
GGB209000015,내촌마을,37.3853333,126.951,2025-10-31,10056.0,31040,경기도 안양시,경기BIS
GGB209000016,범계사거리,37.3882333,126.9487667,2025-10-31,10039.0,31040,경기도 안양시,경기BIS
GGB209000017,범계역(중),37.3895,126.95175,2025-10-31,10060.0,31040,경기도 안양시,경기BIS
GGB209000018,범계사거리,37.3885333,126.9491667,2025-10-31,10040.0,31040,경기도 안양시,경기BIS
GGB209000019,동편수변공원앞,37.4063667,126.9699833,2025-10-31,10058.0,31040,경기도 안양시,경기BIS
GGB209000020,무궁화한양아파트.방축사거리,37.3819667,126.95345,2025-10-31,10065.0,31040,경기도 안양시,경기BIS
GGB209000021,무궁화코오롱.건영아파트,37.37935,126.9548667,2025-10-31,10074.0,31040,경기도 안양시,경기BIS
GGB209000022,무궁화태영아파트.평촌더샵아이파크,37.37755,126.9558167,2025-10-31,10080.0,31040,경기도 안양시,경기BIS
GGB209000023,호계종합시장.평촌센텀퍼스트,37.3740333,126.9576,2025-10-31,10093.0,31040,경기도 안양시,경기BIS
GGB209000024,호계사거리.호계전통시장.윌스기념병원,37.3716667,126.9580833,2025-10-31,10097.0,31040,경기도 안양시,경기BIS
GGB209000025,호계3동행정복지센터,37.3672333,126.9584833,2025-10-31,10100.0,31040,경기도 안양시,경기BIS
GGB209000026,호계현대홈타운.e편한세상아파트,37.3627833,126.9612,2025-10-31,10111.0,31040,경기도 안양시,경기BIS
GGB209000027,농수산물시장.포일단지입구,37.3830667,126.9720667,2025-10-31,10159.0,31040,경기도 안양시,경기BIS
GGB209000028,민백마을,37.3870667,126.9724167,2025-10-31,10161.0,31040,경기도 안양시,경기BIS
GGB209000029,오뚜기식품.두산벤처다임,37.3918667,126.9739833,2025-10-31,10164.0,31040,경기도 안양시,경기BIS
GGB209000030,인덕원역AK밸리.플러스아울렛,37.3952167,126.97545,2025-10-31,10170.0,31040,경기도 안양시,경기BIS
GGB209000031,인덕원역4번출구,37.4008833,126.9764333,2025-10-31,10175.0,31040,경기도 안양시,경기BIS
GGB209000032,인덕원역7번출구,37.4028167,126.9751,2025-10-31,10171.0,31040,경기도 안양시,경기BIS
GGB209000033,더샵센트럴시티정문,37.4002833,126.96475,2025-10-31,10365.0,31040,경기도 안양시,경기BIS
GGB209000034,인덕원역4호선.인덕원성당,37.4035167,126.9738833,2025-10-31,10166.0,31040,경기도 안양시,경기BIS
GGB209000035,부림마을.인덕원동행정복지센터,37.40455,126.96995,2025-10-31,10156.0,31040,경기도 안양시,경기BIS
GGB209000036,중촌마을.동안치매안심센터,37.4042833,126.9655833,2025-10-31,10139.0,31040,경기도 안양시,경기BIS
GGB209000037,관양중학교,37.4034167,126.96055,2025-10-31,10107.0,31040,경기도 안양시,경기BIS
GGB209000038,수촌마을,37.4023667,126.9547833,2025-10-31,10072.0,31040,경기도 안양시,경기BIS
GGB209000039,종합운동장,37.4017,126.9511833,2025-10-31,10055.0,31040,경기도 안양시,경기BIS
GGB209000040,삼호아파트.평촌우리병원,37.4007333,126.9482167,2025-10-31,10035.0,31040,경기도 안양시,경기BIS
GGB209000041,미륭아파트,37.3986833,126.94265,2025-10-31,10014.0,31040,경기도 안양시,경기BIS
GGB209000042,비산롯데캐슬.평촌래미안푸르지오,37.3986333,126.9388167,2025-10-31,10009.0,31040,경기도 안양시,경기BIS
GGB209000043,비산사거리.이마트,37.39865,126.93635,2025-10-31,10005.0,31040,경기도 안양시,경기BIS
GGB209000044,비산농협,37.3979333,126.93265,2025-10-31,10003.0,31040,경기도 안양시,경기BIS
GGB209000045,비산사거리.이마트,37.399,126.9358,2025-10-31,10004.0,31040,경기도 안양시,경기BIS
GGB209000046,삼성래미안아파트,37.39905,126.9384333,2025-10-31,10007.0,31040,경기도 안양시,경기BIS
GGB209000047,동양월드타워,37.3990833,126.9443333,2025-10-31,10017.0,31040,경기도 안양시,경기BIS
GGB209000048,삼호아파트.평촌우리병원,37.4008833,126.9475667,2025-10-31,10034.0,31040,경기도 안양시,경기BIS
GGB209000049,종합운동장,37.4022833,126.9513667,2025-10-31,10059.0,31040,경기도 안양시,경기BIS
GGB209000050,수촌마을,37.4030167,126.9554167,2025-10-31,10076.0,31040,경기도 안양시,경기BIS
GGB209000051,관양중학교,37.4040667,126.9611833,2025-10-31,10112.0,31040,경기도 안양시,경기BIS
GGB209000052,중촌마을.동안치매안심센터,37.4048,126.9654667,2025-10-31,10140.0,31040,경기도 안양시,경기BIS
GGB209000053,평촌차고지,37.3974833,126.9691667,2025-10-31,10162.0,31040,경기도 안양시,경기BIS
GGB209000054,평촌역,37.3947167,126.96465,2025-10-31,10133.0,31040,경기도 안양시,경기BIS
GGB209000055,평안동행정복지센터.동안고등학교,37.3901667,126.9647333,2025-10-31,10135.0,31040,경기도 안양시,경기BIS
GGB209000056,초원성원아파트,37.3897167,126.9634333,2025-10-31,10130.0,31040,경기도 안양시,경기BIS
GGB209000057,초원대림아파트,37.3875,126.9634333,2025-10-31,10127.0,31040,경기도 안양시,경기BIS
GGB209000058,현대아파트,37.3859667,126.96265,2025-10-31,10121.0,31040,경기도 안양시,경기BIS
GGB209000059,무궁화금호아파트,37.3837667,126.9560333,2025-10-31,10085.0,31040,경기도 안양시,경기BIS
GGB209000060,은하수청구아파트,37.3921667,126.9463,2025-10-31,10026.0,31040,경기도 안양시,경기BIS
GGB209000061,부흥초교.부흥중학교,37.394,126.9468333,2025-10-31,10029.0,31040,경기도 안양시,경기BIS
GGB209000062,샛별단지,37.3961667,126.95075,2025-10-31,10052.0,31040,경기도 안양시,경기BIS
GGB209000063,부림중.부안초.한가람단지,37.3977833,126.9554667,2025-10-31,10081.0,31040,경기도 안양시,경기BIS
GGB209000064,한가람삼성아파트,37.4001,126.9564667,2025-10-31,10088.0,31040,경기도 안양시,경기BIS
GGB209000065,공작마을럭키아파트,37.4002667,126.9568833,2025-10-31,10091.0,31040,경기도 안양시,경기BIS
GGB209000066,부림중.부안초.한가람단지,37.39755,126.95545,2025-10-31,10079.0,31040,경기도 안양시,경기BIS
GGB209000067,샛별한양아파트,37.39595,126.9509,2025-10-31,10053.0,31040,경기도 안양시,경기BIS
GGB209000068,부흥동행정복지센터,37.3935,126.9466667,2025-10-31,10027.0,31040,경기도 안양시,경기BIS
GGB209000069,은하수벽산아파트,37.3919333,126.94705,2025-10-31,10031.0,31040,경기도 안양시,경기BIS
GGB209000070,목련우성아파트,37.38455,126.9572333,2025-10-31,10092.0,31040,경기도 안양시,경기BIS
GGB209000071,향촌현대아파트,37.3859833,126.9615833,2025-10-31,10115.0,31040,경기도 안양시,경기BIS
GGB209000072,향촌현대아파트,37.3874833,126.963,2025-10-31,10125.0,31040,경기도 안양시,경기BIS
GGB209000073,초원세경아파트,37.3897167,126.9627333,2025-10-31,10123.0,31040,경기도 안양시,경기BIS
GGB209000074,평안동행정복지센터,37.3905,126.9650167,2025-10-31,10138.0,31040,경기도 안양시,경기BIS
GGB209000075,평촌역,37.3942667,126.9645833,2025-10-31,10132.0,31040,경기도 안양시,경기BIS
GGB209000076,평촌차고지,37.3975167,126.9692667,2025-10-31,10160.0,31040,경기도 안양시,경기BIS
GGB209000077,안양국제유통단지,37.3708667,126.9503167,2025-10-31,10051.0,31040,경기도 안양시,경기BIS
GGB209000078,안양국제유통단지,37.3712167,126.9503833,2025-10-31,10048.0,31040,경기도 안양시,경기BIS
GGB209000079,호계구사거리,37.3675333,126.95545,2025-10-31,10075.0,31040,경기도 안양시,경기BIS
GGB209000080,평촌센텀퍼스트,37.3719,126.9621333,2025-10-31,10118.0,31040,경기도 안양시,경기BIS
GGB209000081,경기게임마이스터고등학교,37.3974333,126.9468833,2025-10-31,10030.0,31040,경기도 안양시,경기BIS
GGB209000082,동안구청.달안초등학교.홈플러스,37.3933,126.9499333,2025-10-31,10045.0,31040,경기도 안양시,경기BIS
GGB209000083,목련선경아파트,37.3885333,126.9525,2025-10-31,10063.0,31040,경기도 안양시,경기BIS
GGB209000084,범계중학교,37.38465,126.9546,2025-10-31,10073.0,31040,경기도 안양시,경기BIS
GGB209000085,무궁화금호아파트,37.3823,126.9558333,2025-10-31,10084.0,31040,경기도 안양시,경기BIS
GGB209000086,무궁화진흥아파트,37.3806333,126.95675,2025-10-31,10089.0,31040,경기도 안양시,경기BIS
GGB209000087,무궁화코오롱.건영아파트,37.3808333,126.95635,2025-10-31,10087.0,31040,경기도 안양시,경기BIS
GGB209000088,무궁화효성한양아파트,37.38215,126.9556167,2025-10-31,10082.0,31040,경기도 안양시,경기BIS
GGB209000089,범계중학교,37.3845833,126.9542833,2025-10-31,10070.0,31040,경기도 안양시,경기BIS
GGB209000090,목련선경아파트,37.3883167,126.9523,2025-10-31,10062.0,31040,경기도 안양시,경기BIS
GGB209000091,동안구청.달안초등학교.홈플러스,37.3930833,126.9497333,2025-10-31,10044.0,31040,경기도 안양시,경기BIS
GGB209000092,경기게임마이스터고등학교,37.3971167,126.9467,2025-10-31,10028.0,31040,경기도 안양시,경기BIS
GGB209000093,안양우편물류센터,37.3884167,126.9470667,2025-10-31,10033.0,31040,경기도 안양시,경기BIS
GGB209000094,동안경찰서.범계역,37.3906667,126.9496667,2025-10-31,10046.0,31040,경기도 안양시,경기BIS
GGB209000095,범계역,37.3896167,126.9519167,2025-10-31,10061.0,31040,경기도 안양시,경기BIS
GGB209000096,봄빛병원,37.3902167,126.9549667,2025-10-31,10077.0,31040,경기도 안양시,경기BIS
GGB209000097,안양시청,37.39395,126.95865,2025-10-31,10090.0,31040,경기도 안양시,경기BIS
GGB209000098,법원검찰청.평촌역,37.3955,126.9631667,2025-10-31,10126.0,31040,경기도 안양시,경기BIS
GGB209000099,안양시자원회수시설,37.39615,126.9683,2025-10-31,10150.0,31040,경기도 안양시,경기BIS
GGB209000100,대륭테크노타운,37.3966667,126.97485,2025-10-31,10167.0,31040,경기도 안양시,경기BIS
GGB209000101,평촌동행정복지센터.벌말경로당,37.39435,126.9773333,2025-10-31,10178.0,31040,경기도 안양시,경기BIS
GGB209000102,인덕원센트럴푸르지오.래미안더포인트아파트,37.3939333,126.97875,2025-10-31,10183.0,31040,경기도 안양시,경기BIS
GGB209000103,래미안인덕원더포인트.센트럴푸르지오아파트,37.3937333,126.9786667,2025-10-31,10182.0,31040,경기도 안양시,경기BIS
GGB209000104,평촌동행정복지센터.벌말경로당,37.3942167,126.9771833,2025-10-31,10176.0,31040,경기도 안양시,경기BIS
GGB209000105,한국교통안전공단안양검사소,37.3963,126.9744,2025-10-31,10165.0,31040,경기도 안양시,경기BIS
GGB209000106,안양시자원회수시설,37.3957833,126.9683333,2025-10-31,10149.0,31040,경기도 안양시,경기BIS
GGB209000107,법원검찰청.평촌역,37.3948,126.9624167,2025-10-31,10122.0,31040,경기도 안양시,경기BIS
GGB209000108,안양시청,37.39315,126.95765,2025-10-31,10095.0,31040,경기도 안양시,경기BIS
